"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131201"	"일"	"00"	"피자"	"75"
"20131201"	"일"	"00"	"음식점-족발/보쌈전문"	"106"
"20131201"	"일"	"00"	"음식점-중국음식"	"164"
"20131201"	"일"	"00"	"치킨"	"1089"
"20131201"	"일"	"01"	"피자"	"25"
"20131201"	"일"	"01"	"음식점-족발/보쌈전문"	"46"
"20131201"	"일"	"01"	"음식점-중국음식"	"137"
"20131201"	"일"	"01"	"치킨"	"331"
"20131201"	"일"	"02"	"피자"	"10"
"20131201"	"일"	"02"	"음식점-족발/보쌈전문"	"20"
"20131201"	"일"	"02"	"치킨"	"108"
"20131201"	"일"	"02"	"음식점-중국음식"	"129"
"20131201"	"일"	"03"	"음식점-족발/보쌈전문"	"12"
"20131201"	"일"	"03"	"피자"	"17"
"20131201"	"일"	"03"	"치킨"	"32"
"20131201"	"일"	"03"	"음식점-중국음식"	"128"
"20131201"	"일"	"04"	"피자"	"7"
"20131201"	"일"	"04"	"치킨"	"13"
"20131201"	"일"	"04"	"음식점-중국음식"	"96"
"20131201"	"일"	"05"	"음식점-족발/보쌈전문"	"7"
"20131201"	"일"	"05"	"치킨"	"7"
"20131201"	"일"	"05"	"음식점-중국음식"	"76"
"20131201"	"일"	"06"	"음식점-중국음식"	"71"
"20131201"	"일"	"07"	"음식점-중국음식"	"79"
"20131201"	"일"	"08"	"음식점-중국음식"	"86"
"20131201"	"일"	"09"	"치킨"	"9"
"20131201"	"일"	"09"	"피자"	"14"
"20131201"	"일"	"09"	"음식점-중국음식"	"203"
"20131201"	"일"	"10"	"음식점-족발/보쌈전문"	"22"
"20131201"	"일"	"10"	"치킨"	"24"
"20131201"	"일"	"10"	"피자"	"96"
"20131201"	"일"	"10"	"음식점-중국음식"	"752"
"20131201"	"일"	"11"	"음식점-족발/보쌈전문"	"48"
"20131201"	"일"	"11"	"치킨"	"138"
"20131201"	"일"	"11"	"피자"	"336"
"20131201"	"일"	"11"	"음식점-중국음식"	"2174"
"20131201"	"일"	"12"	"음식점-족발/보쌈전문"	"83"
"20131201"	"일"	"12"	"치킨"	"521"
"20131201"	"일"	"12"	"피자"	"607"
"20131201"	"일"	"12"	"음식점-중국음식"	"3242"
"20131201"	"일"	"13"	"음식점-족발/보쌈전문"	"93"
"20131201"	"일"	"13"	"치킨"	"687"
"20131201"	"일"	"13"	"피자"	"695"
"20131201"	"일"	"13"	"음식점-중국음식"	"3104"
"20131201"	"일"	"14"	"음식점-족발/보쌈전문"	"72"
"20131201"	"일"	"14"	"피자"	"665"
"20131201"	"일"	"14"	"치킨"	"783"
"20131201"	"일"	"14"	"음식점-중국음식"	"2273"
"20131201"	"일"	"15"	"음식점-족발/보쌈전문"	"97"
"20131201"	"일"	"15"	"피자"	"683"
"20131201"	"일"	"15"	"치킨"	"1017"
"20131201"	"일"	"15"	"음식점-중국음식"	"1766"
"20131201"	"일"	"16"	"음식점-족발/보쌈전문"	"200"
"20131201"	"일"	"16"	"피자"	"837"
"20131201"	"일"	"16"	"치킨"	"1591"
"20131201"	"일"	"16"	"음식점-중국음식"	"1626"
"20131201"	"일"	"17"	"음식점-족발/보쌈전문"	"404"
"20131201"	"일"	"17"	"피자"	"1115"
"20131201"	"일"	"17"	"음식점-중국음식"	"2194"
"20131201"	"일"	"17"	"치킨"	"2919"
"20131201"	"일"	"18"	"음식점-족발/보쌈전문"	"454"
"20131201"	"일"	"18"	"피자"	"1395"
"20131201"	"일"	"18"	"음식점-중국음식"	"2833"
"20131201"	"일"	"18"	"치킨"	"3928"
"20131201"	"일"	"19"	"음식점-족발/보쌈전문"	"379"
"20131201"	"일"	"19"	"피자"	"1088"
"20131201"	"일"	"19"	"음식점-중국음식"	"1852"
"20131201"	"일"	"19"	"치킨"	"3215"
"20131201"	"일"	"20"	"음식점-족발/보쌈전문"	"314"
"20131201"	"일"	"20"	"피자"	"752"
"20131201"	"일"	"20"	"음식점-중국음식"	"984"
"20131201"	"일"	"20"	"치킨"	"2670"
"20131201"	"일"	"21"	"음식점-족발/보쌈전문"	"240"
"20131201"	"일"	"21"	"음식점-중국음식"	"380"
"20131201"	"일"	"21"	"피자"	"744"
"20131201"	"일"	"21"	"치킨"	"2753"
"20131201"	"일"	"22"	"음식점-족발/보쌈전문"	"180"
"20131201"	"일"	"22"	"음식점-중국음식"	"199"
"20131201"	"일"	"22"	"피자"	"430"
"20131201"	"일"	"22"	"치킨"	"2256"
"20131201"	"일"	"23"	"음식점-족발/보쌈전문"	"78"
"20131201"	"일"	"23"	"피자"	"127"
"20131201"	"일"	"23"	"음식점-중국음식"	"147"
"20131201"	"일"	"23"	"치킨"	"1272"
"20131202"	"월"	"00"	"피자"	"29"
"20131202"	"월"	"00"	"음식점-족발/보쌈전문"	"39"
"20131202"	"월"	"00"	"음식점-중국음식"	"123"
"20131202"	"월"	"00"	"치킨"	"550"
"20131202"	"월"	"01"	"피자"	"16"
"20131202"	"월"	"01"	"음식점-족발/보쌈전문"	"24"
"20131202"	"월"	"01"	"음식점-중국음식"	"132"
"20131202"	"월"	"01"	"치킨"	"205"
"20131202"	"월"	"02"	"피자"	"6"
"20131202"	"월"	"02"	"음식점-족발/보쌈전문"	"16"
"20131202"	"월"	"02"	"치킨"	"57"
"20131202"	"월"	"02"	"음식점-중국음식"	"111"
"20131202"	"월"	"03"	"음식점-족발/보쌈전문"	"5"
"20131202"	"월"	"03"	"피자"	"8"
"20131202"	"월"	"03"	"치킨"	"25"
"20131202"	"월"	"03"	"음식점-중국음식"	"80"
"20131202"	"월"	"04"	"치킨"	"18"
"20131202"	"월"	"04"	"음식점-중국음식"	"55"
"20131202"	"월"	"05"	"치킨"	"5"
"20131202"	"월"	"05"	"음식점-중국음식"	"58"
"20131202"	"월"	"06"	"음식점-족발/보쌈전문"	"8"
"20131202"	"월"	"06"	"치킨"	"9"
"20131202"	"월"	"06"	"음식점-중국음식"	"42"
"20131202"	"월"	"07"	"음식점-족발/보쌈전문"	"5"
"20131202"	"월"	"07"	"치킨"	"6"
"20131202"	"월"	"07"	"음식점-중국음식"	"55"
"20131202"	"월"	"08"	"치킨"	"7"
"20131202"	"월"	"08"	"음식점-중국음식"	"74"
"20131202"	"월"	"09"	"피자"	"6"
"20131202"	"월"	"09"	"음식점-족발/보쌈전문"	"14"
"20131202"	"월"	"09"	"치킨"	"14"
"20131202"	"월"	"09"	"음식점-중국음식"	"157"
"20131202"	"월"	"10"	"치킨"	"21"
"20131202"	"월"	"10"	"음식점-족발/보쌈전문"	"23"
"20131202"	"월"	"10"	"피자"	"57"
"20131202"	"월"	"10"	"음식점-중국음식"	"445"
"20131202"	"월"	"11"	"음식점-족발/보쌈전문"	"51"
"20131202"	"월"	"11"	"치킨"	"89"
"20131202"	"월"	"11"	"피자"	"149"
"20131202"	"월"	"11"	"음식점-중국음식"	"1253"
"20131202"	"월"	"12"	"음식점-족발/보쌈전문"	"58"
"20131202"	"월"	"12"	"치킨"	"175"
"20131202"	"월"	"12"	"피자"	"183"
"20131202"	"월"	"12"	"음식점-중국음식"	"1970"
"20131202"	"월"	"13"	"음식점-족발/보쌈전문"	"57"
"20131202"	"월"	"13"	"피자"	"183"
"20131202"	"월"	"13"	"치킨"	"256"
"20131202"	"월"	"13"	"음식점-중국음식"	"1488"
"20131202"	"월"	"14"	"음식점-족발/보쌈전문"	"80"
"20131202"	"월"	"14"	"피자"	"218"
"20131202"	"월"	"14"	"치킨"	"270"
"20131202"	"월"	"14"	"음식점-중국음식"	"1082"
"20131202"	"월"	"15"	"음식점-족발/보쌈전문"	"77"
"20131202"	"월"	"15"	"피자"	"285"
"20131202"	"월"	"15"	"치킨"	"378"
"20131202"	"월"	"15"	"음식점-중국음식"	"936"
"20131202"	"월"	"16"	"음식점-족발/보쌈전문"	"84"
"20131202"	"월"	"16"	"피자"	"298"
"20131202"	"월"	"16"	"치킨"	"608"
"20131202"	"월"	"16"	"음식점-중국음식"	"856"
"20131202"	"월"	"17"	"음식점-족발/보쌈전문"	"145"
"20131202"	"월"	"17"	"피자"	"423"
"20131202"	"월"	"17"	"치킨"	"1006"
"20131202"	"월"	"17"	"음식점-중국음식"	"1164"
"20131202"	"월"	"18"	"음식점-족발/보쌈전문"	"239"
"20131202"	"월"	"18"	"피자"	"509"
"20131202"	"월"	"18"	"음식점-중국음식"	"1529"
"20131202"	"월"	"18"	"치킨"	"1593"
"20131202"	"월"	"19"	"음식점-족발/보쌈전문"	"276"
"20131202"	"월"	"19"	"피자"	"549"
"20131202"	"월"	"19"	"음식점-중국음식"	"1429"
"20131202"	"월"	"19"	"치킨"	"2059"
"20131202"	"월"	"20"	"음식점-족발/보쌈전문"	"250"
"20131202"	"월"	"20"	"피자"	"489"
"20131202"	"월"	"20"	"음식점-중국음식"	"885"
"20131202"	"월"	"20"	"치킨"	"1914"
"20131202"	"월"	"21"	"음식점-족발/보쌈전문"	"190"
"20131202"	"월"	"21"	"음식점-중국음식"	"360"
"20131202"	"월"	"21"	"피자"	"511"
"20131202"	"월"	"21"	"치킨"	"2009"
"20131202"	"월"	"22"	"음식점-족발/보쌈전문"	"148"
"20131202"	"월"	"22"	"음식점-중국음식"	"184"
"20131202"	"월"	"22"	"피자"	"391"
"20131202"	"월"	"22"	"치킨"	"1944"
"20131202"	"월"	"23"	"음식점-족발/보쌈전문"	"94"
"20131202"	"월"	"23"	"피자"	"118"
"20131202"	"월"	"23"	"음식점-중국음식"	"149"
"20131202"	"월"	"23"	"치킨"	"1367"
"20131203"	"화"	"00"	"피자"	"27"
"20131203"	"화"	"00"	"음식점-족발/보쌈전문"	"58"
"20131203"	"화"	"00"	"음식점-중국음식"	"158"
"20131203"	"화"	"00"	"치킨"	"523"
"20131203"	"화"	"01"	"피자"	"14"
"20131203"	"화"	"01"	"음식점-족발/보쌈전문"	"29"
"20131203"	"화"	"01"	"음식점-중국음식"	"110"
"20131203"	"화"	"01"	"치킨"	"221"
"20131203"	"화"	"02"	"피자"	"10"
"20131203"	"화"	"02"	"음식점-족발/보쌈전문"	"19"
"20131203"	"화"	"02"	"치킨"	"64"
