03.1.31,0,2519,0,0,10000001,8,0
03.2.28,0,2519,10.0069863,0,10000001,8,1
03.3.31,0,2519,11.04219178,0,10000001,8,2
03.4.30,0,2519,10.69712329,0,10000001,8,3
03.5.31,0,2519,11.04219178,0,10000001,8,4
03.6.30,0,2519,10.69712329,0,10000001,8,5
03.7.31,0,2519,11.04219178,0,10000001,8,6
03.8.31,0,2519,11.04219178,0,10000001,8,7
03.9.30,2519,0,10.69712329,0,10000001,8,8
03.1.31,0,1201,0,0,10000002,19,0
03.2.28,0,1201,4.77109589,0,10000002,19,1
03.3.31,0,1201,5.264657534,0,10000002,19,2
03.4.30,0,1201,5.100136986,0,10000002,19,3
03.5.31,0,1201,5.264657534,0,10000002,19,4
03.6.30,0,1201,5.100136986,0,10000002,19,5
03.7.31,0,1201,5.264657534,0,10000002,19,6
03.8.31,0,1201,5.264657534,0,10000002,19,7
03.9.30,0,1201,5.100136986,0,10000002,19,8
03.10.31,0,1201,5.264657534,0,10000002,19,9
03.11.30,0,1201,5.100136986,0,10000002,19,10
03.12.31,0,1201,5.264657534,0,10000002,19,11
04.1.31,0,1201,5.264657534,0,10000002,19,12
04.2.29,0,1201,4.935616438,0,10000002,19,13
04.3.31,0,1201,5.264657534,0,10000002,19,14
04.4.30,0,1201,5.100136986,0,10000002,19,15
04.5.31,0,1201,5.264657534,0,10000002,19,16
04.6.30,0,1201,5.100136986,0,10000002,19,17
04.7.31,0,1201,5.264657534,0,10000002,19,18
04.8.31,1201,0,5.264657534,0,10000002,19,19
03.1.31,0,13013,0,0,10000003,20,0
03.2.28,0,13013,51.69547945,0,10000003,20,1
03.3.31,0,13013,57.04328767,0,10000003,20,2
03.4.30,0,13013,55.26068493,0,10000003,20,3
03.5.31,0,13013,57.04328767,0,10000003,20,4
03.6.30,0,13013,55.26068493,0,10000003,20,5
03.7.31,0,13013,57.04328767,0,10000003,20,6
03.8.31,0,13013,57.04328767,0,10000003,20,7
03.9.30,0,13013,55.26068493,0,10000003,20,8
03.10.31,0,13013,57.04328767,0,10000003,20,9
03.11.30,0,13013,55.26068493,0,10000003,20,10
03.12.31,0,13013,57.04328767,0,10000003,20,11
04.1.31,0,13013,57.04328767,0,10000003,20,12
04.2.29,0,13013,53.47808219,0,10000003,20,13
04.3.31,0,13013,57.04328767,0,10000003,20,14
04.4.30,0,13013,55.26068493,0,10000003,20,15
04.5.31,0,13013,57.04328767,0,10000003,20,16
04.6.30,0,13013,55.26068493,0,10000003,20,17
04.7.31,0,13013,57.04328767,0,10000003,20,18
04.8.31,0,13013,57.04328767,0,10000003,20,19
04.9.30,13013,0,55.26068493,0,10000003,20,20
03.1.31,0,4151,0,0,10000004,8,0
03.2.28,0,4151,16.49027397,0,10000004,8,1
03.3.31,0,4151,18.19616438,0,10000004,8,2
03.4.30,0,4151,17.62753425,0,10000004,8,3
03.5.31,0,4151,18.19616438,0,10000004,8,4
03.6.30,0,4151,17.62753425,0,10000004,8,5
03.7.31,0,4151,18.19616438,0,10000004,8,6
03.8.31,0,4151,18.19616438,0,10000004,8,7
03.9.30,4151,0,17.62753425,0,10000004,8,8
03.1.31,0,2588,0,0,10000005,17,0
03.2.28,0,2588,10.28109589,0,10000005,17,1
03.3.31,0,2588,11.34465753,0,10000005,17,2
03.4.30,0,2588,10.99013699,0,10000005,17,3
03.5.31,0,2588,11.34465753,0,10000005,17,4
03.6.30,0,2588,10.99013699,0,10000005,17,5
03.7.31,0,2588,11.34465753,0,10000005,17,6
03.8.31,0,2588,11.34465753,0,10000005,17,7
03.9.30,0,2588,10.99013699,0,10000005,17,8
03.10.31,0,2588,11.34465753,0,10000005,17,9
